model,gpu,resolution,batch_size,precision,max_output_tokens,run_id,num_requests,wall_time_s,oom,error,ttft_p50,ttft_p95,ttft_p99,e2e_latency_p50,e2e_latency_p95,e2e_latency_p99,pages_per_second,tokens_per_second,mean_power_watts,peak_power_watts,energy_per_page_wh,pages_per_watt_hour,tokens_per_watt_hour,peak_gpu_memory_gb,kv_cache_memory_gb,mean_sm_occupancy,mean_tensor_util,mean_memory_util,throttle_events
paddleocr_vl_0.9b,h100_sxm,1024,1,bf16,2048,0,50,128.2487872720012,False,,8.565664291381836,9.486711025238037,11.473333835601803,2563.689135439745,2567.7882735622916,2570.027776882089,0.38986723433068915,798.4480959092514,0.0,0.0,0.0,0.0,0.0,73.10748291015625,0.0,0.0,0.0,0.0,0
paddleocr_vl_0.9b,h100_sxm,1024,8,bf16,2048,0,56,19.514281808000305,False,,15.149831771850586,20.075321197509766,21.830189228057865,2779.6132020666846,2786.801923992698,2790.610862836911,2.8696931073856677,5877.1314839258475,0.0,0.0,0.0,0.0,0.0,73.10748291015625,0.0,0.0,0.0,0.0,0
paddleocr_vl_0.9b,h100_sxm,1024,32,bf16,2048,0,64,7.806780751001497,False,,25.539159774780273,43.59753131866454,49.768626689910874,3872.728089209886,3914.8531083184935,3925.4744829805713,8.198001460690403,16789.506991493945,0.0,0.0,0.0,0.0,0.0,73.10748291015625,0.0,0.0,0.0,0.0,0
