model,gpu,resolution,batch_size,precision,max_output_tokens,run_id,num_requests,wall_time_s,oom,error,ttft_p50,ttft_p95,ttft_p99,e2e_latency_p50,e2e_latency_p95,e2e_latency_p99,pages_per_second,tokens_per_second,mean_power_watts,peak_power_watts,energy_per_page_wh,pages_per_watt_hour,tokens_per_watt_hour,peak_gpu_memory_gb,kv_cache_memory_gb,mean_sm_occupancy,mean_tensor_util,mean_memory_util,throttle_events
olmocr2_7b,h100_sxm,1024,1,bf16,2048,0,50,934.3179773699994,False,,15.494227409362793,19.623839855194092,24.15156126022339,18684.4819224998,18691.054921092746,18694.76591402643,0.05351497157396501,109.59866178348034,0.0,0.0,0.0,0.0,0.0,73.63873291015625,0.0,0.0,0.0,0.0,0
olmocr2_7b,h100_sxm,1024,8,bf16,2048,0,56,134.40366633200028,False,,22.89295196533203,31.36390447616577,39.10180330276492,19117.257309996603,19450.169927352363,19452.404687829767,0.4166553006200763,595.7873187938076,0.0,0.0,0.0,0.0,0.0,73.63873291015625,0.0,0.0,0.0,0.0,0
olmocr2_7b,h100_sxm,1024,32,bf16,2048,0,64,42.692722833000516,False,,44.07835006713867,80.30449151992796,86.75965309143066,20977.454874660907,21593.715819444697,21604.070577209914,1.4990845219768798,2419.5926880576517,0.0,0.0,0.0,0.0,0.0,73.63873291015625,0.0,0.0,0.0,0.0,0
