model,gpu,resolution,batch_size,precision,max_output_tokens,run_id,num_requests,wall_time_s,oom,error,ttft_p50,ttft_p95,ttft_p99,e2e_latency_p50,e2e_latency_p95,e2e_latency_p99,pages_per_second,tokens_per_second,mean_power_watts,peak_power_watts,energy_per_page_wh,pages_per_watt_hour,tokens_per_watt_hour,peak_gpu_memory_gb,kv_cache_memory_gb,mean_sm_occupancy,mean_tensor_util,mean_memory_util,throttle_events
nanonets_ocr2_3b,h100_sxm,1024,1,bf16,2048,0,50,514.7201252159994,False,,13.192415237426758,16.217553615570065,21.20682716369629,10292.368634846753,10298.428055896784,10303.747987663646,0.09714016909484118,198.94306630623473,0.0,0.0,0.0,0.0,0.0,73.59771728515625,0.0,0.0,0.0,0.0,0
nanonets_ocr2_3b,h100_sxm,1024,8,bf16,2048,0,56,75.38681072799955,False,,24.48856830596924,372.8821873664856,375.79320669174194,10706.576078769103,11055.94814628057,11059.559918829018,0.7428355100741905,1521.327124631942,0.0,0.0,0.0,0.0,0.0,73.60162353515625,0.0,0.0,0.0,0.0,0
nanonets_ocr2_3b,h100_sxm,1024,32,bf16,2048,0,64,26.151537314999587,False,,38.13660144805908,56.94466829299927,61.2924575805664,13034.35185442504,13068.615611946007,13078.88788993123,2.4472748668313233,5012.01892727055,0.0,0.0,0.0,0.0,0.0,73.60162353515625,0.0,0.0,0.0,0.0,0
