model,gpu,resolution,batch_size,precision,max_output_tokens,run_id,num_requests,wall_time_s,oom,error,ttft_p50,ttft_p95,ttft_p99,e2e_latency_p50,e2e_latency_p95,e2e_latency_p99,pages_per_second,tokens_per_second,mean_power_watts,peak_power_watts,energy_per_page_wh,pages_per_watt_hour,tokens_per_watt_hour,peak_gpu_memory_gb,kv_cache_memory_gb,mean_sm_occupancy,mean_tensor_util,mean_memory_util,throttle_events
olmocr2_7b,b300_sxm,1024,1,bf16,2048,0,50,431.10783729099967,False,,7.548093795776367,8.122718334197998,9.47208166122436,8622.014664945937,8623.037413318616,8623.287927540718,0.11598026218727678,237.52757695954284,0.0,0.0,0.0,0.0,0.0,243.49072265625,0.0,0.0,0.0,0.0,0
olmocr2_7b,b300_sxm,1024,8,bf16,2048,0,56,60.41186736700001,False,,11.441946029663086,13.4316086769104,13.687634468078613,74.96493399708015,8629.643203746924,8629.91555131082,0.9269701871621006,249.47085162000033,0.0,0.0,0.0,0.0,0.0,243.49072265625,0.0,0.0,0.0,0.0,0
olmocr2_7b,b300_sxm,1024,32,bf16,2048,0,64,24.890868187999786,False,,18.225550651550293,32.11554288864135,34.041502475738525,11777.68902629964,13054.650230005404,13055.618739115544,2.5712240937764976,3305.6299755614095,0.0,0.0,0.0,0.0,0.0,243.49072265625,0.0,0.0,0.0,0.0,0
