model,gpu,resolution,batch_size,precision,max_output_tokens,run_id,num_requests,wall_time_s,oom,error,ttft_p50,ttft_p95,ttft_p99,e2e_latency_p50,e2e_latency_p95,e2e_latency_p99,pages_per_second,tokens_per_second,mean_power_watts,peak_power_watts,energy_per_page_wh,pages_per_watt_hour,tokens_per_watt_hour,peak_gpu_memory_gb,kv_cache_memory_gb,mean_sm_occupancy,mean_tensor_util,mean_memory_util,throttle_events
paddleocr_vl_0.9b,b300_sxm,1024,1,bf16,2048,0,50,98.45295558299995,False,,5.685210227966309,5.958843231201172,5.9979963302612305,1968.3827648485703,1969.3189636610327,1969.4037010879856,0.5078567698036035,1040.09066455778,0.0,0.0,0.0,0.0,0.0,243.26605224609375,0.0,0.0,0.0,0.0,0
paddleocr_vl_0.9b,b300_sxm,1024,8,bf16,2048,0,56,13.862238540999897,False,,9.4071626663208,11.499404907226562,11.802518367767334,1975.1743116487432,1978.2353486140778,1978.8922021856479,4.0397515765127405,8273.411228698093,0.0,0.0,0.0,0.0,0.0,243.26605224609375,0.0,0.0,0.0,0.0,0
paddleocr_vl_0.9b,b300_sxm,1024,32,bf16,2048,0,64,4.469862895999995,False,,15.373468399047852,25.24710893630981,26.56952142715454,2218.761968630247,2237.946982480207,2242.4109498671146,14.318112543736525,29323.494489572404,0.0,0.0,0.0,0.0,0.0,243.26605224609375,0.0,0.0,0.0,0.0,0
