model,gpu,resolution,batch_size,precision,max_output_tokens,run_id,num_requests,wall_time_s,oom,error,ttft_p50,ttft_p95,ttft_p99,e2e_latency_p50,e2e_latency_p95,e2e_latency_p99,pages_per_second,tokens_per_second,mean_power_watts,peak_power_watts,energy_per_page_wh,pages_per_watt_hour,tokens_per_watt_hour,peak_gpu_memory_gb,kv_cache_memory_gb,mean_sm_occupancy,mean_tensor_util,mean_memory_util,throttle_events
nanonets_ocr2_3b,b300_sxm,1024,1,bf16,2048,0,50,313.78691314499997,False,,8.09621810913086,8.253049850463867,8.574132919311522,6274.896844066006,6275.603174749153,6277.177639522494,0.159343802770051,326.33610807306445,0.0,0.0,0.0,0.0,0.0,243.48876953125,0.0,0.0,0.0,0.0,0
nanonets_ocr2_3b,b300_sxm,1024,8,bf16,2048,0,56,43.35693187699985,False,,13.81218433380127,17.035722732543945,17.17395782470703,6185.62314125802,6188.412855739272,6188.579430058326,1.2916043081384891,2645.2056230676258,0.0,0.0,0.0,0.0,0.0,243.49072265625,0.0,0.0,0.0,0.0,0
nanonets_ocr2_3b,b300_sxm,1024,32,bf16,2048,0,64,11.972700130000021,False,,20.284652709960938,31.829130649566643,33.72524976730347,5961.592558611869,5981.798786785112,5987.001090653953,5.345494274899198,10947.572274993558,0.0,0.0,0.0,0.0,0.0,243.49072265625,0.0,0.0,0.0,0.0,0
