model,gpu,micro_batch_size,effective_batch_size,gradient_accumulation_steps,precision,run_id,steps_completed,wall_time_s,oom,error,samples_per_second,tokens_per_second,peak_gpu_memory_gb,model_memory_gb,optimizer_memory_gb,activation_memory_gb,mean_power_watts,peak_power_watts,energy_per_1k_samples_wh,loss_values,gradient_norm_values,estimated_cost_per_epoch,estimated_time_per_epoch_hours
paddleocr_vl_0.9b,h100_sxm,1,32,32,bf16,0,110,314.44700813000054,False,,0.34982046944623224,179.1080803564709,2.8045945167541504,0.0,0.0,0.0,110.50187272727273,112.998,87.74490725215409,"[361.8523, 311.9874, 331.8947, 310.3536, 331.1765, 309.9996, 330.9102, 309.8317, 330.8607, 309.8091, 330.7257]",[],79.40581013383853,39.702905066919264
paddleocr_vl_0.9b,h100_sxm,2,32,16,bf16,0,110,180.521220396,False,,1.2186932900043412,623.9709644822227,3.3732194900512695,0.0,0.0,0.0,133.89138181818183,138.013,30.517974300915384,"[201.0111, 185.3211, 182.4579, 184.4259, 181.9937, 184.2646, 181.8468, 184.5653, 184.4295, 181.9711, 184.317]",[],22.793083383333332,11.396541691666666
paddleocr_vl_0.9b,h100_sxm,4,32,8,bf16,0,110,91.09957607800061,False,,4.829879774887936,2472.8984447426233,4.596718788146973,0.0,0.0,0.0,186.41390909090907,192.381,10.72110359420755,"[101.636, 91.3804, 91.1198, 93.315, 90.9432, 90.8962, 90.8582, 93.2074, 90.8768, 90.8434, 93.1943]",[],5.751235863510139,2.8756179317550696
