model,gpu,micro_batch_size,effective_batch_size,gradient_accumulation_steps,precision,run_id,steps_completed,wall_time_s,oom,error,samples_per_second,tokens_per_second,peak_gpu_memory_gb,model_memory_gb,optimizer_memory_gb,activation_memory_gb,mean_power_watts,peak_power_watts,energy_per_1k_samples_wh,loss_values,gradient_norm_values,estimated_cost_per_epoch,estimated_time_per_epoch_hours
olmocr2_7b,h100_sxm,1,32,32,bf16,0,110,554.6689348640002,False,,0.19831649671703896,101.53804631912395,23.646841526031494,0.0,0.0,0.0,231.3494090909091,247.894,324.0462886915919,"[12.8581, 12.0238, 11.9709, 11.9604, 11.9567, 11.9536, 11.9523, 11.9521, 11.9507, 11.9505, 11.9507]",[],140.06791284444452,70.03395642222226
olmocr2_7b,h100_sxm,2,32,16,bf16,0,110,326.6523318210002,False,,0.6734989423573323,344.83145848695415,23.646841526031494,0.0,0.0,0.0,323.3454454545455,340.06,133.36053502705468,"[12.8573, 12.0155, 11.9689, 11.9591, 11.9553, 11.9535, 11.9524, 11.951, 11.9507, 11.9505, 11.9497]",[],41.24398129053033,20.621990645265164
olmocr2_7b,h100_sxm,4,32,8,bf16,0,110,297.54429335500026,False,,1.4787714294188656,757.1309718624592,23.646841526031494,0.0,0.0,0.0,339.7853181818182,348.42,63.82650403460417,"[12.8561, 12.0171, 11.9694, 11.9597, 11.9559, 11.9537, 11.9527, 11.9512, 11.9511, 11.9511, 11.9502]",[],18.784361954229812,9.392180977114906
