model,gpu,micro_batch_size,effective_batch_size,gradient_accumulation_steps,precision,run_id,steps_completed,wall_time_s,oom,error,samples_per_second,tokens_per_second,peak_gpu_memory_gb,model_memory_gb,optimizer_memory_gb,activation_memory_gb,mean_power_watts,peak_power_watts,energy_per_1k_samples_wh,loss_values,gradient_norm_values,estimated_cost_per_epoch,estimated_time_per_epoch_hours
olmocr2_7b,b300_sxm,1,32,32,bf16,0,110,298.2836582589998,False,,0.3687764882663701,188.8135619923815,23.58928155899048,0.0,0.0,0.0,494.59923636363635,548.339,372.5527009965989,"[12.8583, 12.0227, 11.9701, 11.9602, 11.9567, 11.9536, 11.9522, 11.9522, 11.9506, 11.9504, 11.9507]",[],75.32415612601005,37.662078063005026
olmocr2_7b,b300_sxm,2,32,16,bf16,0,110,173.0591671659995,False,,1.271241527407644,650.8756620327138,23.58928155899048,0.0,0.0,0.0,709.9620727272727,792.139,155.13313765862193,"[12.8585, 12.0138, 11.9686, 11.9588, 11.9552, 11.9534, 11.9522, 11.9509, 11.9505, 11.9503, 11.9495]",[],21.850904945201954,10.925452472600977
olmocr2_7b,b300_sxm,4,32,8,bf16,0,110,125.42656331299986,False,,3.5080288288054855,1796.1107603484086,23.58928155899048,0.0,0.0,0.0,875.9537818181818,931.773,69.36103060257567,"[12.8558, 12.0157, 11.9691, 11.9596, 11.9559, 11.9536, 11.9527, 11.9511, 11.951, 11.951, 11.95]",[],7.918343643497467,3.9591718217487335
