model,gpu,micro_batch_size,effective_batch_size,gradient_accumulation_steps,precision,run_id,steps_completed,wall_time_s,oom,error,samples_per_second,tokens_per_second,peak_gpu_memory_gb,model_memory_gb,optimizer_memory_gb,activation_memory_gb,mean_power_watts,peak_power_watts,energy_per_1k_samples_wh,loss_values,gradient_norm_values,estimated_cost_per_epoch,estimated_time_per_epoch_hours
paddleocr_vl_0.9b,b300_sxm,1,32,32,bf16,0,110,185.0914747740003,False,,0.5943007376990852,304.2819777019316,2.7583718299865723,0.0,0.0,0.0,283.90089090909095,291.534,132.6960469394349,"[361.7185, 311.803, 331.7506, 310.337, 331.1992, 310.0277, 330.9151, 309.8552, 330.8719, 309.8365, 330.75]",[],46.74027140757583,23.370135703787916
paddleocr_vl_0.9b,b300_sxm,2,32,16,bf16,0,110,100.13552462899997,False,,2.197022493416751,1124.8755166293765,3.3264665603637695,0.0,0.0,0.0,331.1725818181818,337.728,41.87138917058592,"[200.9386, 185.2585, 182.4389, 184.6061, 182.0347, 184.2528, 181.7668, 184.1591, 184.1257, 181.724, 184.1106]",[],12.643374321843432,6.321687160921716
paddleocr_vl_0.9b,b300_sxm,4,32,8,bf16,0,110,50.93627157899982,False,,8.638245131813,4422.781507488256,4.549843788146973,0.0,0.0,0.0,414.3990727272727,428.948,13.325722039470996,"[101.6198, 91.42, 91.1601, 93.3299, 90.9376, 90.8903, 90.8658, 93.2193, 90.8861, 90.8477, 93.2029]",[],3.215673710795443,1.6078368553977216
